 Run: data/cwarner/testloc2           
 
  YR DOY DAY     SubN  DrCm3  DrNconc   DrainN NRelease  NUptake     CumDr  CumDrN  ROcm3 RO_Nconc     Ro_N   CumRoN   THRU_N      IrN   CumIrN
2005 171  81 0.565760   18.1 0.000223 0.004044 0.016497 0.012101   7671.6 0.395529  427.5 0.000009 0.004044 0.395529 0.000000 0.000000 0.000000
2005 172  82 0.566055   18.1 0.000224 0.004046 0.016890 0.012549   7689.7 0.399576 1210.4 0.000003 0.004046 0.399576 0.000000 0.000000 0.000000
2005 173  83 0.558109 1051.6 0.000011 0.011547 0.016593 0.012992   8741.3 0.411123 5786.9 0.000002 0.011547 0.411123 0.000000 0.000000 0.000000
2005 174  84 0.561015    0.0 0.000000 0.000000 0.016218 0.013313   8741.3 0.411123  925.1 0.000000 0.000000 0.411123 0.000000 0.000000 0.000000
2005 175  85 0.553496   46.2 0.000204 0.009446 0.015546 0.013619   8787.5 0.420569 1053.8 0.000009 0.009446 0.420569 0.000000 0.000000 0.000000
2005 176  86 0.537420  112.6 0.000166 0.018698 0.016442 0.013821   8900.1 0.439267 1153.3 0.000016 0.018698 0.439267 0.000000 0.000000 0.000000
2005 177  87 0.541092    0.0 0.000000 0.000000 0.017817 0.014146   8900.1 0.439267  980.9 0.000000 0.000000 0.439267 0.000000 0.000000 0.000000
2005 178  88 0.523517  723.8 0.000027 0.019762 0.016697 0.014510   9624.0 0.459029 4856.6 0.000004 0.019762 0.459029 0.000000 0.000000 0.000000
2005 179  89 0.497836  303.6 0.000090 0.027318 0.016312 0.014674   9927.6 0.486347 2049.0 0.000013 0.027318 0.486347 0.000000 0.000000 0.000000
2005 180  90 0.473926  422.2 0.000061 0.025562 0.016520 0.014868  10349.8 0.511909 2660.2 0.000010 0.025562 0.511909 0.000000 0.000000 0.000000
2005 181  91 0.471936   18.1 0.000187 0.003390 0.016395 0.014996  10367.9 0.515299  777.0 0.000004 0.003390 0.515299 0.000000 0.000000 0.000000
2005 182  92 0.465051   46.2 0.000172 0.007946 0.016376 0.015314  10414.1 0.523245 1202.4 0.000007 0.007946 0.523245 0.000000 0.000000 0.000000
2005 183  93 0.467883    0.0 0.000000 0.000000 0.016666 0.013834  10414.1 0.523245  958.1 0.000000 0.000000 0.523245 0.000000 0.000000 0.000000
2005 184  94 0.471573    0.0 0.000000 0.000000 0.016717 0.013027  10414.1 0.523245 1168.1 0.000000 0.000000 0.523245 0.000000 0.000000 0.000000
2005 185  95 0.478982    0.0 0.000000 0.000000 0.017026 0.009617  10414.1 0.523245 1297.5 0.000000 0.000000 0.523245 0.000000 0.000000 0.000000
