 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	Day	Ndays	d_TW	d_TW	d_TW	d_RW	d_RW	d_RW	TW	TW	TW	RW	RW	RW	N_TOP	N_TOP	N_TOP	N_ROOT	N_ROOT	N_ROOT	Tact	Tact	Tact	Ract	Ract	Ract	Topt	Topt	Topt	Ropt	Ropt	Ropt	NDemand	NDemand	NDemand	NUptake	NUptake	NUptake	NSupply	NSupply	NSupply	NSUF	NSUF	NSUF	WSUF	WSUF	WSUF	NupCum	NupCum	NupCum
340	26	1	0.03428	0.03428	0.03428	0.03461	0.03461	0.03461	1.8	1.8	1.8	1.9	1.9	1.9	0.02577	0.02577	0.02577	0.02298	0.02298	0.02298	1.41	1.41	1.41	1.21	1.21	1.21	1.41	1.41	1.41	1.21	1.21	1.21	0.00129	0.00129	0.00129	0.00129	0.00129	0.00129	0.00550	0.00550	0.00550	1.000	1.000	1	1.000	1.000	1	0.019	0.019	0.019
341	27	1	0.01992	0.01992	0.01992	0.03351	0.03351	0.03351	1.8	1.8	1.8	1.9	1.9	1.9	0.02616	0.02616	0.02616	0.02350	0.02350	0.02350	1.42	1.42	1.42	1.22	1.22	1.22	1.42	1.42	1.42	1.22	1.22	1.22	0.00090	0.00090	0.00090	0.00090	0.00090	0.00090	0.00560	0.00560	0.00560	1.000	1.000	1	1.000	1.000	1	0.020	0.020	0.02
342	28	1	0.00000	0.00000	0	0.00000	0.00000	0	1.8	1.8	1.8	1.9	1.9	1.9	0.02620	0.02620	0.02620	0.02354	0.02354	0.02354	1.42	1.42	1.42	1.22	1.22	1.22	1.42	1.42	1.42	1.22	1.22	1.22	0.00007	0.00007	7.E-5	0.00007	0.00007	7.E-5	0.00568	0.00568	0.00568	1.000	1.000	1	1.000	1.000	1	0.020	0.020	0.02
343	29	1	0.03081	0.03081	0.03081	0.03556	0.03556	0.03556	1.9	1.9	1.9	2.0	2.0	2	0.02679	0.02679	0.02679	0.02413	0.02413	0.02413	1.43	1.43	1.43	1.23	1.23	1.23	1.43	1.43	1.43	1.23	1.23	1.23	0.00119	0.00119	0.00119	0.00119	0.00119	0.00119	0.00569	0.00569	0.00569	1.000	1.000	1	1.000	1.000	1	0.021	0.021	0.021
344	30	1	0.03109	0.03109	0.03109	0.01365	0.01365	0.01365	1.9	1.9	1.9	2.0	2.0	2	0.02738	0.02738	0.02738	0.02446	0.02446	0.02446	1.44	1.44	1.44	1.24	1.24	1.24	1.44	1.44	1.44	1.24	1.24	1.24	0.00091	0.00091	0.00091	0.00091	0.00091	0.00091	0.00580	0.00580	0.0058	1.000	1.000	1	1.000	1.000	1	0.022	0.022	0.022
345	31	1	0.02361	0.02361	0.02361	0.00262	0.00262	0.00262	1.9	1.9	1.9	2.0	2.0	2	0.02789	0.02789	0.02789	0.02466	0.02466	0.02466	1.45	1.45	1.45	1.25	1.25	1.25	1.45	1.45	1.45	1.25	1.25	1.25	0.00070	0.00070	0.00070	0.00070	0.00070	0.00070	0.00584	0.00584	0.00584	1.000	1.000	1	1.000	1.000	1	0.023	0.023	0.023
346	32	1	0.03203	0.03203	0.03203	0.00355	0.00355	0.00355	2.0	2.0	2	2.0	2.0	2	0.02852	0.02852	0.02852	0.02487	0.02487	0.02487	1.46	1.46	1.46	1.26	1.26	1.26	1.46	1.46	1.46	1.26	1.26	1.26	0.00083	0.00083	0.00083	0.00083	0.00083	0.00083	0.00586	0.00586	0.00586	1.000	1.000	1	1.000	1.000	1	0.024	0.024	0.024
347	33	1	0.01488	0.01488	0.01488	0.00165	0.00165	0.00165	2.0	2.0	2	2.0	2.0	2	0.02890	0.02890	0.02890	0.02506	0.02506	0.02506	1.46	1.46	1.46	1.26	1.26	1.26	1.46	1.46	1.46	1.26	1.26	1.26	0.00058	0.00058	0.00058	0.00058	0.00058	0.00058	0.00579	0.00579	0.00579	1.000	1.000	1	1.000	1.000	1	0.024	0.024	0.024
348	34	1	0.03510	0.03510	0.03510	0.01804	0.01804	0.01804	2.0	2.0	2	2.0	2.0	2	0.02957	0.02957	0.02957	0.02544	0.02544	0.02544	1.47	1.47	1.47	1.27	1.27	1.27	1.47	1.47	1.47	1.27	1.27	1.27	0.00104	0.00104	0.00104	0.00104	0.00104	0.00104	0.00581	0.00581	0.00581	1.000	1.000	1	1.000	1.000	1	0.025	0.025	0.025
349	35	1	0.03718	0.03718	0.03718	0.03789	0.03789	0.03789	2.0	2.0	2	2.0	2.0	2	0.03027	0.03027	0.03027	0.02607	0.02607	0.02607	1.48	1.48	1.48	1.28	1.28	1.28	1.48	1.48	1.48	1.28	1.28	1.28	0.00133	0.00133	0.00133	0.00133	0.00133	0.00133	0.00587	0.00587	0.00587	1.000	1.000	1	1.000	1.000	1	0.027	0.027	0.027
