 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubN	SubN	SubN	DrCm3	DrCm3	DrCm3	DrNconc	DrNconc	DrNconc	DrainN	DrainN	DrainN	NReleas	NReleas	NReleas	NUptake	NUptake	NUptake	CumDr	CumDr	CumDr	CumDrN	CumDrN	CumDrN	ROcm3	ROcm3	ROcm3	RO_Ncon	RO_Ncon	RO_Ncon	Ro_N	Ro_N	Ro_N	CumRoN	CumRoN	CumRoN	THRU_N	THRU_N	THRU_N	IrN	IrN	IrN	CumIrN	CumIrN	CumIrN
340	26	1	0.56108	0.56108	0.56108	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00487	0.00487	0.00487	0.00129	0.00129	0.00129	530.9	530.9	530.9	0.07388	0.07388	0.07388	10.1	10.1	10.1	0.00000	0.00000	0	0.00000	0.00000	0	0.07388	0.07388	0.07388	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
341	27	1	0.55733	0.55733	0.55733	31.2	31.2	31.2	0.00021	0.00021	0.00021	0.00665	0.00665	0.00665	0.00380	0.00380	0.00380	0.00090	0.00090	0.00090	562.0	562.0	562	0.08054	0.08054	0.08054	44.0	44.0	44	0.00015	0.00015	0.00015	0.00665	0.00665	0.00665	0.08054	0.08054	0.08054	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
342	28	1	0.56006	0.56006	0.56006	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00280	0.00280	0.00280	0.00007	0.00007	7.E-5	562.0	562.0	562	0.08054	0.08054	0.08054	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.08054	0.08054	0.08054	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
343	29	1	0.56309	0.56309	0.56309	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00422	0.00422	0.00422	0.00119	0.00119	0.00119	562.0	562.0	562	0.08054	0.08054	0.08054	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.08054	0.08054	0.08054	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
344	30	1	0.56554	0.56554	0.56554	2.0	2.0	2	0.00023	0.00023	0.00023	0.00046	0.00046	0.00046	0.00383	0.00383	0.00383	0.00091	0.00091	0.00091	564.1	564.1	564.1	0.08101	0.08101	0.08101	13.6	13.6	13.6	0.00003	0.00003	3.E-5	0.00046	0.00046	0.00046	0.08101	0.08101	0.08101	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
345	31	1	0.56893	0.56893	0.56893	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00408	0.00408	0.00408	0.00070	0.00070	0.00070	564.1	564.1	564.1	0.08101	0.08101	0.08101	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.08101	0.08101	0.08101	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
346	32	1	0.54589	0.54589	0.54589	198.7	198.7	198.7	0.00013	0.00013	0.00013	0.02638	0.02638	0.02638	0.00418	0.00418	0.00418	0.00083	0.00083	0.00083	762.7	762.7	762.7	0.10739	0.10739	0.10739	223.9	223.9	223.9	0.00011	0.00011	0.00011	0.02638	0.02638	0.02638	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
347	33	1	0.54974	0.54974	0.54974	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00443	0.00443	0.00443	0.00058	0.00058	0.00058	762.7	762.7	762.7	0.10739	0.10739	0.10739	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
348	34	1	0.55368	0.55368	0.55368	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00498	0.00498	0.00498	0.00104	0.00104	0.00104	762.7	762.7	762.7	0.10739	0.10739	0.10739	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
349	35	1	0.55765	0.55765	0.55765	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00529	0.00529	0.00529	0.00133	0.00133	0.00133	762.7	762.7	762.7	0.10739	0.10739	0.10739	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.10739	0.10739	0.10739	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
