 Run: data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	LA	LA	LA	LAI	LAI	LAI	TW	TW	TW	RW	RW	RW	DT	DT	DT	SRad	SRad	SRad	TMIN	TMIN	TMIN	TMAX	TMAX	TMAX	Ra	Ra	Ra	Ir	Ir	Ir	CF	CF	CF	P_Ra	P_Ra	P_Ra	P_Ir	P_Ir	P_Ir	Sw	Sw	Sw	P_Dr	P_Dr	P_Dr	Ro	Ro	Ro	P_Et	P_Et	P_Et	HT	HT	HT	Et	Et	Et	P_Ar	P_Ar	P_Ar
336	22	1	162.3	162.3	162.3	0.73	0.73	0.73	1.7	1.7	1.7	1.8	1.8	1.8	13.7	13.7	13.7	13.1	13.1	13.1	3.4	3.4	3.4	21.4	21.4	21.4	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.421	5.421	5.421	0.00	0.00	0	0.00	0.00	0	0.29	0.29	0.29	14.6	14.6	14.6	0.26	0.26	0.26	221.7	221.7	221.7
337	23	1	163.7	163.7	163.7	0.74	0.74	0.74	1.7	1.7	1.7	1.8	1.8	1.8	14.2	14.2	14.2	12.8	12.8	12.8	5.4	5.4	5.4	23.5	23.5	23.5	0.00	0.00	0	0.55	0.55	0.55	1.00	1.00	1	0.00	0.00	0	0.55	0.55	0.55	5.658	5.658	5.658	0.00	0.00	0	0.05	0.05	0.05	0.31	0.31	0.31	14.6	14.6	14.6	0.28	0.28	0.28	221.7	221.7	221.7
338	24	1	166.2	166.2	166.2	0.75	0.75	0.75	1.8	1.8	1.8	1.8	1.8	1.8	14.9	14.9	14.9	10.8	10.8	10.8	12.6	12.6	12.6	22.1	22.1	22.1	0.00	0.00	0	0.31	0.31	0.31	1.00	1.00	1	0.00	0.00	0	0.31	0.31	0.31	5.727	5.727	5.727	0.00	0.00	0	0.03	0.03	0.03	0.24	0.24	0.24	14.7	14.7	14.7	0.22	0.22	0.22	221.7	221.7	221.7
339	25	1	168.3	168.3	168.3	0.76	0.76	0.76	1.8	1.8	1.8	1.9	1.9	1.9	15.5	15.5	15.5	6.7	6.7	6.7	8.3	8.3	8.3	26.6	26.6	26.6	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.480	5.480	5.48	0.00	0.00	0	0.00	0.00	0	0.25	0.25	0.25	14.8	14.8	14.8	0.22	0.22	0.22	221.7	221.7	221.7
340	26	1	171.3	171.3	171.3	0.77	0.77	0.77	1.8	1.8	1.8	1.9	1.9	1.9	16.3	16.3	16.3	11.3	11.3	11.3	13.4	13.4	13.4	26.6	26.6	26.6	0.00	0.00	0	0.49	0.49	0.49	1.00	1.00	1	0.00	0.00	0	0.49	0.49	0.49	5.657	5.657	5.657	0.00	0.00	0	0.05	0.05	0.05	0.31	0.31	0.31	15.0	15.0	15	0.28	0.28	0.28	221.7	221.7	221.7
341	27	1	173.1	173.1	173.1	0.78	0.78	0.78	1.8	1.8	1.8	1.9	1.9	1.9	16.8	16.8	16.8	9.1	9.1	9.1	4.3	4.3	4.3	25.7	25.7	25.7	0.31	0.31	0.31	0.31	0.31	0.31	1.00	1.00	1	0.31	0.31	0.31	0.31	0.31	0.31	5.841	5.841	5.841	0.15	0.15	0.15	0.20	0.20	0.2	0.28	0.28	0.28	15.0	15.0	15	0.26	0.26	0.26	221.7	221.7	221.7
342	28	1	173.1	173.1	173.1	0.78	0.78	0.78	1.8	1.8	1.8	1.9	1.9	1.9	16.9	16.9	16.9	6.9	6.9	6.9	-0.2	-0.2	-0.2	15.7	15.7	15.7	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.701	5.701	5.701	0.00	0.00	0	0.00	0.00	0	0.14	0.14	0.14	15.0	15.0	15	0.13	0.13	0.13	221.7	221.7	221.7
343	29	1	175.9	175.9	175.9	0.79	0.79	0.79	1.9	1.9	1.9	2.0	2.0	2	17.6	17.6	17.6	12.4	12.4	12.4	9.2	9.2	9.2	21.9	21.9	21.9	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.424	5.424	5.424	0.00	0.00	0	0.00	0.00	0	0.28	0.28	0.28	15.2	15.2	15.2	0.25	0.25	0.25	221.7	221.7	221.7
344	30	1	178.6	178.6	178.6	0.81	0.81	0.81	1.9	1.9	1.9	2.0	2.0	2	18.2	18.2	18.2	6.4	6.4	6.4	11.0	11.0	11	15.3	15.3	15.3	0.02	0.02	0.02	0.54	0.54	0.54	1.00	1.00	1	0.02	0.02	0.02	0.54	0.54	0.54	5.865	5.865	5.865	0.01	0.01	0.01	0.06	0.06	0.06	0.11	0.11	0.11	15.3	15.3	15.3	0.10	0.10	0.1	221.7	221.7	221.7
345	31	1	180.7	180.7	180.7	0.82	0.82	0.82	1.9	1.9	1.9	2.0	2.0	2	18.8	18.8	18.8	2.7	2.7	2.7	11.2	11.2	11.2	16.4	16.4	16.4	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.805	5.805	5.805	0.00	0.00	0	0.00	0.00	0	0.06	0.06	0.06	15.4	15.4	15.4	0.05	0.05	0.05	221.7	221.7	221.7
346	32	1	183.6	183.6	183.6	0.83	0.83	0.83	2.0	2.0	2	2.0	2.0	2	19.4	19.4	19.4	3.7	3.7	3.7	11.9	11.9	11.9	15.4	15.4	15.4	1.22	1.22	1.22	0.00	0.00	0	1.00	1.00	1	1.22	1.22	1.22	0.00	0.00	0	5.968	5.968	5.968	0.99	0.99	0.99	1.01	1.01	1.01	0.07	0.07	0.07	15.5	15.5	15.5	0.06	0.06	0.06	221.7	221.7	221.7
347	33	1	184.9	184.9	184.9	0.83	0.83	0.83	2.0	2.0	2	2.0	2.0	2	20.1	20.1	20.1	1.6	1.6	1.6	9.9	9.9	9.9	18.4	18.4	18.4	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.909	5.909	5.909	0.00	0.00	0	0.00	0.00	0	0.06	0.06	0.06	15.5	15.5	15.5	0.05	0.05	0.05	221.7	221.7	221.7
348	34	1	188.0	188.0	188	0.85	0.85	0.85	2.0	2.0	2	2.0	2.0	2	20.7	20.7	20.7	5.8	5.8	5.8	7.6	7.6	7.6	24.0	24.0	24	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.713	5.713	5.713	0.00	0.00	0	0.00	0.00	0	0.20	0.20	0.2	15.7	15.7	15.7	0.18	0.18	0.18	221.7	221.7	221.7
349	35	1	191.4	191.4	191.4	0.86	0.86	0.86	2.0	2.0	2	2.0	2.0	2	21.2	21.2	21.2	10.9	10.9	10.9	7.7	7.7	7.7	24.9	24.9	24.9	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.418	5.418	5.418	0.00	0.00	0	0.00	0.00	0	0.30	0.30	0.3	15.8	15.8	15.8	0.27	0.27	0.27	221.7	221.7	221.7
350	36	1	195.0	195.0	195	0.88	0.88	0.88	2.1	2.1	2.1	2.1	2.1	2.1	21.8	21.8	21.8	9.1	9.1	9.1	8.4	8.4	8.4	24.4	24.4	24.4	0.00	0.00	0	0.55	0.55	0.55	1.00	1.00	1	0.00	0.00	0	0.55	0.55	0.55	5.713	5.713	5.713	0.00	0.00	0	0.05	0.05	0.05	0.26	0.26	0.26	16.0	16.0	16	0.23	0.23	0.23	221.7	221.7	221.7
351	37	1	198.9	198.9	198.9	0.90	0.90	0.9	2.1	2.1	2.1	2.1	2.1	2.1	22.5	22.5	22.5	7.9	7.9	7.9	8.7	8.7	8.7	23.1	23.1	23.1	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.497	5.497	5.497	0.00	0.00	0	0.00	0.00	0	0.22	0.22	0.22	16.1	16.1	16.1	0.20	0.20	0.2	221.7	221.7	221.7
352	38	1	201.1	201.1	201.1	0.91	0.91	0.91	2.2	2.2	2.2	2.1	2.1	2.1	22.8	22.8	22.8	7.8	7.8	7.8	1.7	1.7	1.7	18.3	18.3	18.3	0.00	0.00	0	0.47	0.47	0.47	1.00	1.00	1	0.00	0.00	0	0.47	0.47	0.47	5.794	5.794	5.794	0.00	0.00	0	0.04	0.04	0.04	0.17	0.17	0.17	16.2	16.2	16.2	0.16	0.16	0.16	221.7	221.7	221.7
353	39	1	203.5	203.5	203.5	0.92	0.92	0.92	2.2	2.2	2.2	2.1	2.1	2.1	23.1	23.1	23.1	12.8	12.8	12.8	2.4	2.4	2.4	23.7	23.7	23.7	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.481	5.481	5.481	0.00	0.00	0	0.00	0.00	0	0.31	0.31	0.31	16.3	16.3	16.3	0.28	0.28	0.28	221.7	221.7	221.7
354	40	1	207.4	207.4	207.4	0.94	0.94	0.94	2.2	2.2	2.2	2.2	2.2	2.2	23.7	23.7	23.7	11.8	11.8	11.8	7.3	7.3	7.3	25.1	25.1	25.1	0.00	0.00	0	0.49	0.49	0.49	1.00	1.00	1	0.00	0.00	0	0.49	0.49	0.49	5.654	5.654	5.654	0.00	0.00	0	0.05	0.05	0.05	0.31	0.31	0.31	16.4	16.4	16.4	0.29	0.29	0.29	221.7	221.7	221.7
355	41	1	213.5	213.5	213.5	0.96	0.96	0.96	2.3	2.3	2.3	2.2	2.2	2.2	24.5	24.5	24.5	10.2	10.2	10.2	13.7	13.7	13.7	23.8	23.8	23.8	0.00	0.00	0	0.31	0.31	0.31	1.00	1.00	1	0.00	0.00	0	0.31	0.31	0.31	5.721	5.721	5.721	0.00	0.00	0	0.03	0.03	0.03	0.25	0.25	0.25	16.7	16.7	16.7	0.22	0.22	0.22	221.7	221.7	221.7
356	42	1	219.2	219.2	219.2	0.99	0.99	0.99	2.4	2.4	2.4	2.2	2.2	2.2	25.2	25.2	25.2	5.5	5.5	5.5	11.6	11.6	11.6	27.4	27.4	27.4	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.494	5.494	5.494	0.00	0.00	0	0.00	0.00	0	0.23	0.23	0.23	16.9	16.9	16.9	0.21	0.21	0.21	221.7	221.7	221.7
357	43	1	227.0	227.0	227	1.02	1.02	1.02	2.4	2.4	2.4	2.2	2.2	2.2	26.2	26.2	26.2	12.0	12.0	12	16.8	16.8	16.8	26.1	26.1	26.1	0.02	0.02	0.02	0.47	0.47	0.47	1.00	1.00	1	0.02	0.02	0.02	0.47	0.47	0.47	5.681	5.681	5.681	0.01	0.01	0.01	0.06	0.06	0.06	0.30	0.30	0.3	17.2	17.2	17.2	0.27	0.27	0.27	221.7	221.7	221.7
358	44	1	234.5	234.5	234.5	1.06	1.06	1.06	2.5	2.5	2.5	2.3	2.3	2.3	27.0	27.0	27	6.6	6.6	6.6	14.5	14.5	14.5	23.2	23.2	23.2	0.00	0.00	0	0.00	0.00	0	1.00	1.00	1	0.00	0.00	0	0.00	0.00	0	5.510	5.510	5.51	0.00	0.00	0	0.00	0.00	0	0.17	0.17	0.17	17.4	17.4	17.4	0.15	0.15	0.15	221.7	221.7	221.7
