 RUN:  data/cwarner/auto2012b          
 
  YR DOY DAY     SubP  DrCm3  DrPconc   DrainP PRelease    PUptake     CumDr  CumDrP  ROcm3 RO_Pconc     Ro_P   CumRoP        THRU_P      IrP   CumIrP
2011 360  46 0.096954    0.0 0.000000 0.000000 0.001038 0.000267    764.8 0.008140    0.0 0.000000 0.000000 0.008140 0.000000 0.000000 0.000000
2011 361  47 0.096437   73.5 0.000016 0.001198 0.000925 0.000243    838.3 0.009339   94.0 0.000013 0.001198 0.009339 0.000000 0.000000 0.000000
2011 362  48 0.097115    0.0 0.000000 0.000000 0.000725 0.000047    838.3 0.009339    0.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2011 363  49 0.097779    0.0 0.000000 0.000000 0.000809 0.000145    838.3 0.009339    0.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2011 364  50 0.098489    0.0 0.000000 0.000000 0.000885 0.000175    838.3 0.009339    8.1 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2011 365  51 0.099398    0.0 0.000000 0.000000 0.001160 0.000251    838.3 0.009339    0.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   1  52 0.100223    0.0 0.000000 0.000000 0.001118 0.000293    838.3 0.009339   10.1 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   2  53 0.100924    0.0 0.000000 0.000000 0.000886 0.000185    838.3 0.009339    2.3 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   3  54 0.101548    0.0 0.000000 0.000000 0.000625 0.000001    838.3 0.009339    7.6 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   4  55 0.102216    0.0 0.000000 0.000000 0.000669 0.000001    838.3 0.009339    0.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   5  56 0.103014    0.0 0.000000 0.000000 0.000830 0.000032    838.3 0.009339    7.4 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   6  57 0.103839    0.0 0.000000 0.000000 0.001042 0.000217    838.3 0.009339    0.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   7  58 0.104731    0.0 0.000000 0.000000 0.001161 0.000269    838.3 0.009339   11.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   8  59 0.105688    0.0 0.000000 0.000000 0.001213 0.000256    838.3 0.009339    0.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012   9  60 0.106661    0.0 0.000000 0.000000 0.001277 0.000304    838.3 0.009339   12.0 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
2012  10  61 0.107648    0.0 0.000000 0.000000 0.001298 0.000311    838.3 0.009339    6.7 0.000000 0.000000 0.009339 0.000000 0.000000 0.000000
