 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	Day	Ndays	d_TW	d_TW	d_TW	d_RW	d_RW	d_RW	TW	TW	TW	RW	RW	RW	P_TOP	P_TOP	P_TOP	P_ROOT	P_ROOT	P_ROOT	Tact	Tact	Tact	Ract	Ract	Ract	Topt	Topt	Topt	Ropt	Ropt	Ropt	PDemand	PDemand	PDemand	PUptake	PUptake	PUptake	PSupply	PSupply	PSupply	PSUF	PSUF	PSUF	WSUF	WSUF	WSUF	PupCum	PupCum	PupCum
337	23	1	0.01596	0.01596	0.01596	0.03587	0.03587	0.03587	1.7	1.7	1.7	1.8	1.8	1.8	0.00306	0.00306	0.00306	0.00281	0.00281	0.00281	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.08516	0.08516	0.08516	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
338	24	1	0.02777	0.02777	0.02777	0.03625	0.03625	0.03625	1.8	1.8	1.8	1.8	1.8	1.8	0.00314	0.00314	0.00314	0.00289	0.00289	0.00289	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.08717	0.08717	0.08717	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
339	25	1	0.02353	0.02353	0.02353	0.02417	0.02417	0.02417	1.8	1.8	1.8	1.9	1.9	1.9	0.00320	0.00320	0.00320	0.00295	0.00295	0.00295	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.08929	0.08929	0.08929	1.000	1.000	1	1.000	1.000	1	0.002	0.002	0.002
340	26	1	0.03428	0.03428	0.03428	0.03461	0.03461	0.03461	1.8	1.8	1.8	1.9	1.9	1.9	0.00329	0.00329	0.00329	0.00304	0.00304	0.00304	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00017	0.00017	0.00017	0.00017	0.00017	0.00017	0.09095	0.09095	0.09095	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
341	27	1	0.01992	0.01992	0.01992	0.03351	0.03351	0.03351	1.8	1.8	1.8	1.9	1.9	1.9	0.00334	0.00334	0.00334	0.00311	0.00311	0.00311	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.09319	0.09319	0.09319	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
342	28	1	0.00000	0.00000	0	0.00000	0.00000	0	1.8	1.8	1.8	1.9	1.9	1.9	0.00334	0.00334	0.00334	0.00311	0.00311	0.00311	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00001	0.00001	1.E-5	0.00001	0.00001	1.E-5	0.09458	0.09458	0.09458	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
343	29	1	0.03081	0.03081	0.03081	0.03556	0.03556	0.03556	1.9	1.9	1.9	2.0	2.0	2	0.00342	0.00342	0.00342	0.00319	0.00319	0.00319	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00015	0.00015	0.00015	0.00015	0.00015	0.00015	0.09510	0.09510	0.09510	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
344	30	1	0.03109	0.03109	0.03109	0.01365	0.01365	0.01365	1.9	1.9	1.9	2.0	2.0	2	0.00350	0.00350	0.00350	0.00324	0.00324	0.00324	0.18	0.18	0.18	0.16	0.16	0.16	0.18	0.18	0.18	0.16	0.16	0.16	0.00012	0.00012	0.00012	0.00012	0.00012	0.00012	0.09730	0.09730	0.09730	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
345	31	1	0.02361	0.02361	0.02361	0.00262	0.00262	0.00262	1.9	1.9	1.9	2.0	2.0	2	0.00357	0.00357	0.00357	0.00326	0.00326	0.00326	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00009	0.00009	9.E-5	0.00009	0.00009	9.E-5	0.09845	0.09845	0.09845	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
346	32	1	0.03203	0.03203	0.03203	0.00355	0.00355	0.00355	2.0	2.0	2	2.0	2.0	2	0.00365	0.00365	0.00365	0.00329	0.00329	0.00329	0.19	0.19	0.19	0.17	0.17	0.17	0.19	0.19	0.19	0.17	0.17	0.17	0.00011	0.00011	0.00011	0.00011	0.00011	0.00011	0.09923	0.09923	0.09923	1.000	1.000	1	1.000	1.000	1	0.003	0.003	0.003
