 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	SubP	SubP	SubP	DrCm3	DrCm3	DrCm3	DrPconc	DrPconc	DrPconc	DrainP	DrainP	DrainP	PReleas	PReleas	PReleas	PUptake	PUptake	PUptake	CumDr	CumDr	CumDr	CumDrP	CumDrP	CumDrP	ROcm3	ROcm3	ROcm3	RO_Pcon	RO_Pcon	RO_Pcon	Ro_P	Ro_P	Ro_P	CumRoP	CumRoP	CumRoP	THRU_P	THRU_P	THRU_P	IrP	IrP	IrP	CumIrP	CumIrP	CumIrP
338	24	1	0.08599	0.08599	0.08599	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00056	0.00056	0.00056	0.00015	0.00015	0.00015	530.9	530.9	530.9	0.00549	0.00549	0.00549	6.4	6.4	6.4	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
339	25	1	0.08646	0.08646	0.08646	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00058	0.00058	0.00058	0.00012	0.00012	0.00012	530.9	530.9	530.9	0.00549	0.00549	0.00549	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
340	26	1	0.08699	0.08699	0.08699	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00070	0.00070	0.00070	0.00017	0.00017	0.00017	530.9	530.9	530.9	0.00549	0.00549	0.00549	10.1	10.1	10.1	0.00000	0.00000	0	0.00000	0.00000	0	0.00549	0.00549	0.00549	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
341	27	1	0.08691	0.08691	0.08691	31.2	31.2	31.2	0.00001	0.00001	1.E-5	0.00051	0.00051	0.00051	0.00055	0.00055	0.00055	0.00012	0.00012	0.00012	562.0	562.0	562	0.00600	0.00600	0.00600	44.0	44.0	44	0.00001	0.00001	1.E-5	0.00051	0.00051	0.00051	0.00600	0.00600	0.00600	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
342	28	1	0.08731	0.08731	0.08731	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00040	0.00040	0.00040	0.00001	0.00001	1.E-5	562.0	562.0	562	0.00600	0.00600	0.00600	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00600	0.00600	0.00600	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
343	29	1	0.08776	0.08776	0.08776	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00061	0.00061	0.00061	0.00015	0.00015	0.00015	562.0	562.0	562	0.00600	0.00600	0.00600	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00600	0.00600	0.00600	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
344	30	1	0.08816	0.08816	0.08816	2.0	2.0	2	0.00001	0.00001	1.E-5	0.00003	0.00003	3.E-5	0.00055	0.00055	0.00055	0.00012	0.00012	0.00012	564.1	564.1	564.1	0.00604	0.00604	0.00604	13.6	13.6	13.6	0.00000	0.00000	3.E-6	0.00003	0.00003	3.E-5	0.00604	0.00604	0.00604	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
345	31	1	0.08866	0.08866	0.08866	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00059	0.00059	0.00059	0.00009	0.00009	9.E-5	564.1	564.1	564.1	0.00604	0.00604	0.00604	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00604	0.00604	0.00604	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
346	32	1	0.08710	0.08710	0.08710	198.7	198.7	198.7	0.00001	0.00001	1.E-5	0.00205	0.00205	0.00205	0.00060	0.00060	0.00060	0.00011	0.00011	0.00011	762.7	762.7	762.7	0.00810	0.00810	0.00810	223.9	223.9	223.9	0.00000	0.00000	9.E-6	0.00205	0.00205	0.00205	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
347	33	1	0.08766	0.08766	0.08766	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00064	0.00064	0.00064	0.00008	0.00008	8.E-5	762.7	762.7	762.7	0.00810	0.00810	0.00810	0.0	0.0	0	0.00000	0.00000	0	0.00000	0.00000	0	0.00810	0.00810	0.00810	0.00000	0.00000	0	0.00000	0.00000	0	0.00000	0.00000	0
