 RUN:  data/cwarner/auto2012b          
 
			Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean	Max	Min	Mean
DOY	DAY	Ndays	Tmean	Tmean	Tmean	VP	VP	VP	TFac	TFac	TFac	Rate	Rate	Rate	PRel	PRel	PRel	CumPRel	CumPRel	CumPRel	CRF_P	CRF_P	CRF_P	PDemand	PDemand	PDemand	FD	FD	FD	AvT	AvT	AvT	AvFD	AvFD	AvFD	PRel2	PRel2	PRel2	CRF_P2	CRF_P2	CRF_P2	AvT2	AvT2	AvT2	FD2	FD2	FD2	SUB_P	SUB_P	SUB_P	RD2	RD2	RD2
337	23	1	14.45	14.45	14.45	1.666	1.666	1.666	0.874	0.874	0.874	0.00105	0.00105	0.00105	0.00046	0.00046	0.00046	0.00602	0.00602	0.00602	0.42997	0.42997	0.42997	0.00011	0.00011	0.00011	296.4	296.4	296.4	16.7	16.7	16.7	280.1	280.1	280.1	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08559	0.08559	0.08559	-99	-99	-99
338	24	1	17.35	17.35	17.35	1.998	1.998	1.998	0.944	0.944	0.944	0.00128	0.00128	0.00128	0.00056	0.00056	0.00056	0.00658	0.00658	0.00658	0.42941	0.42941	0.42941	0.00015	0.00015	0.00015	274.4	274.4	274.4	16.8	16.8	16.8	279.8	279.8	279.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08599	0.08599	0.08599	-99	-99	-99
339	25	1	17.45	17.45	17.45	1.998	1.998	1.998	0.944	0.944	0.944	0.00133	0.00133	0.00133	0.00058	0.00058	0.00058	0.00716	0.00716	0.00716	0.42883	0.42883	0.42883	0.00012	0.00012	0.00012	274.4	274.4	274.4	16.8	16.8	16.8	279.6	279.6	279.6	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08646	0.08646	0.08646	-99	-99	-99
340	26	1	20.00	20.00	20	2.360	2.360	2.36	1.020	1.020	1.02	0.00162	0.00162	0.00162	0.00070	0.00070	0.00070	0.00787	0.00787	0.00787	0.42812	0.42812	0.42812	0.00017	0.00017	0.00017	253.9	253.9	253.9	16.9	16.9	16.9	278.6	278.6	278.6	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08699	0.08699	0.08699	-99	-99	-99
341	27	1	15.00	15.00	15	1.714	1.714	1.714	0.884	0.884	0.884	0.00126	0.00126	0.00126	0.00055	0.00055	0.00055	0.00842	0.00842	0.00842	0.42757	0.42757	0.42757	0.00012	0.00012	0.00012	293.0	293.0	293	16.9	16.9	16.9	279.2	279.2	279.2	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08691	0.08691	0.08691	-99	-99	-99
342	28	1	7.75	7.75	7.75	1.057	1.057	1.057	0.745	0.745	0.745	0.00093	0.00093	0.00093	0.00040	0.00040	0.00040	0.00883	0.00883	0.00883	0.42716	0.42716	0.42716	0.00001	0.00001	1.E-5	347.4	347.4	347.4	16.5	16.5	16.5	281.6	281.6	281.6	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08731	0.08731	0.08731	-99	-99	-99
343	29	1	15.55	15.55	15.55	1.787	1.787	1.787	0.899	0.899	0.899	0.00140	0.00140	0.00140	0.00061	0.00061	0.00061	0.00945	0.00945	0.00945	0.42655	0.42655	0.42655	0.00015	0.00015	0.00015	288.0	288.0	288	16.5	16.5	16.5	281.8	281.8	281.8	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08776	0.08776	0.08776	-99	-99	-99
344	30	1	13.15	13.15	13.15	1.516	1.516	1.516	0.842	0.842	0.842	0.00127	0.00127	0.00127	0.00055	0.00055	0.00055	0.01000	0.01000	0.01000	0.42599	0.42599	0.42599	0.00012	0.00012	0.00012	307.5	307.5	307.5	16.4	16.4	16.4	282.7	282.7	282.7	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08816	0.08816	0.08816	-99	-99	-99
345	31	1	13.80	13.80	13.8	1.578	1.578	1.578	0.855	0.855	0.855	0.00136	0.00136	0.00136	0.00059	0.00059	0.00059	0.01060	0.01060	0.01060	0.42539	0.42539	0.42539	0.00009	0.00009	9.E-5	302.8	302.8	302.8	16.3	16.3	16.3	283.3	283.3	283.3	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08866	0.08866	0.08866	-99	-99	-99
346	32	1	13.65	13.65	13.65	1.563	1.563	1.563	0.852	0.852	0.852	0.00139	0.00139	0.00139	0.00060	0.00060	0.00060	0.01121	0.01121	0.01121	0.42478	0.42478	0.42478	0.00011	0.00011	0.00011	303.9	303.9	303.9	16.2	16.2	16.2	284.0	284.0	284	0.00000	0.00000	0	0.00000	0.00000	0	0.0	0.0	0	0.0	0.0	0	0.08710	0.08710	0.08710	-99	-99	-99
